relative_compactness,surface_area,wall_area,roof_area,height,orientation,glazing_area,glazing_dist,heating_load,cooling_load,floor_area_pyeong
0.98,514.5,294.0,110.25,7.0,2.0,0.0,0.0,15.55,21.33,33.35
0.98,514.5,294.0,110.25,7.0,3.0,0.0,0.0,15.55,21.33,33.35
0.98,514.5,294.0,110.25,7.0,4.0,0.0,0.0,15.55,21.33,33.35
0.98,514.5,294.0,110.25,7.0,5.0,0.0,0.0,15.55,21.33,33.35
0.9,563.5,318.5,122.5,7.0,2.0,0.0,0.0,20.84,28.28,37.06
0.9,563.5,318.5,122.5,7.0,3.0,0.0,0.0,21.46,25.38,37.06
0.9,563.5,318.5,122.5,7.0,4.0,0.0,0.0,20.71,25.16,37.06
0.9,563.5,318.5,122.5,7.0,5.0,0.0,0.0,19.68,29.6,37.06
0.86,588.0,294.0,147.0,7.0,2.0,0.0,0.0,19.5,27.3,44.47
0.86,588.0,294.0,147.0,7.0,3.0,0.0,0.0,19.95,21.97,44.47
0.86,588.0,294.0,147.0,7.0,4.0,0.0,0.0,19.34,23.49,44.47
0.86,588.0,294.0,147.0,7.0,5.0,0.0,0.0,18.31,27.87,44.47
0.82,612.5,318.5,147.0,7.0,2.0,0.0,0.0,17.05,23.77,44.47
0.82,612.5,318.5,147.0,7.0,3.0,0.0,0.0,17.41,21.46,44.47
0.82,612.5,318.5,147.0,7.0,4.0,0.0,0.0,16.95,21.16,44.47
0.82,612.5,318.5,147.0,7.0,5.0,0.0,0.0,15.98,24.93,44.47
0.79,637.0,343.0,147.0,7.0,2.0,0.0,0.0,28.52,37.73,44.47
0.79,637.0,343.0,147.0,7.0,3.0,0.0,0.0,29.9,31.27,44.47
0.79,637.0,343.0,147.0,7.0,4.0,0.0,0.0,29.63,30.93,44.47
0.79,637.0,343.0,147.0,7.0,5.0,0.0,0.0,28.75,39.44,44.47
0.76,661.5,416.5,122.5,7.0,2.0,0.0,0.0,24.77,29.79,37.06
0.76,661.5,416.5,122.5,7.0,3.0,0.0,0.0,23.93,29.68,37.06
0.76,661.5,416.5,122.5,7.0,4.0,0.0,0.0,24.77,29.79,37.06
0.76,661.5,416.5,122.5,7.0,5.0,0.0,0.0,23.93,29.4,37.06
0.74,686.0,245.0,220.5,3.5,2.0,0.0,0.0,6.07,10.9,66.7
0.74,686.0,245.0,220.5,3.5,3.0,0.0,0.0,6.05,11.19,66.7
0.74,686.0,245.0,220.5,3.5,4.0,0.0,0.0,6.01,10.94,66.7
0.74,686.0,245.0,220.5,3.5,5.0,0.0,0.0,6.04,11.17,66.7
0.71,710.5,269.5,220.5,3.5,2.0,0.0,0.0,6.37,11.27,66.7
0.71,710.5,269.5,220.5,3.5,3.0,0.0,0.0,6.4,11.72,66.7
0.71,710.5,269.5,220.5,3.5,4.0,0.0,0.0,6.37,11.29,66.7
0.71,710.5,269.5,220.5,3.5,5.0,0.0,0.0,6.4,11.67,66.7
0.69,735.0,294.0,220.5,3.5,2.0,0.0,0.0,6.85,11.74,66.7
0.69,735.0,294.0,220.5,3.5,3.0,0.0,0.0,6.79,12.05,66.7
0.69,735.0,294.0,220.5,3.5,4.0,0.0,0.0,6.77,11.73,66.7
0.69,735.0,294.0,220.5,3.5,5.0,0.0,0.0,6.81,11.93,66.7
0.66,759.5,318.5,220.5,3.5,2.0,0.0,0.0,7.18,12.4,66.7
0.66,759.5,318.5,220.5,3.5,3.0,0.0,0.0,7.1,12.23,66.7
0.66,759.5,318.5,220.5,3.5,4.0,0.0,0.0,7.1,12.4,66.7
0.66,759.5,318.5,220.5,3.5,5.0,0.0,0.0,7.1,12.14,66.7
0.64,784.0,343.0,220.5,3.5,2.0,0.0,0.0,10.85,16.78,66.7
0.64,784.0,343.0,220.5,3.5,3.0,0.0,0.0,10.54,16.8,66.7
0.64,784.0,343.0,220.5,3.5,4.0,0.0,0.0,10.77,16.75,66.7
0.64,784.0,343.0,220.5,3.5,5.0,0.0,0.0,10.56,16.67,66.7
0.62,808.5,367.5,220.5,3.5,2.0,0.0,0.0,8.6,12.07,66.7
0.62,808.5,367.5,220.5,3.5,3.0,0.0,0.0,8.49,12.22,66.7
0.62,808.5,367.5,220.5,3.5,4.0,0.0,0.0,8.45,12.08,66.7
0.62,808.5,367.5,220.5,3.5,5.0,0.0,0.0,8.5,12.04,66.7
0.98,514.5,294.0,110.25,7.0,2.0,0.1,1.0,24.58,26.47,33.35
0.98,514.5,294.0,110.25,7.0,3.0,0.1,1.0,24.63,26.37,33.35
0.98,514.5,294.0,110.25,7.0,4.0,0.1,1.0,24.63,26.44,33.35
0.98,514.5,294.0,110.25,7.0,5.0,0.1,1.0,24.59,26.29,33.35
0.9,563.5,318.5,122.5,7.0,2.0,0.1,1.0,29.03,32.92,37.06
0.9,563.5,318.5,122.5,7.0,3.0,0.1,1.0,29.87,29.87,37.06
0.9,563.5,318.5,122.5,7.0,4.0,0.1,1.0,29.14,29.58,37.06
0.9,563.5,318.5,122.5,7.0,5.0,0.1,1.0,28.09,34.33,37.06
0.86,588.0,294.0,147.0,7.0,2.0,0.1,1.0,26.28,30.89,44.47
0.86,588.0,294.0,147.0,7.0,3.0,0.1,1.0,26.91,25.6,44.47
0.86,588.0,294.0,147.0,7.0,4.0,0.1,1.0,26.37,27.03,44.47
0.86,588.0,294.0,147.0,7.0,5.0,0.1,1.0,25.27,31.73,44.47
0.82,612.5,318.5,147.0,7.0,2.0,0.1,1.0,23.53,27.31,44.47
0.82,612.5,318.5,147.0,7.0,3.0,0.1,1.0,24.03,24.91,44.47
0.82,612.5,318.5,147.0,7.0,4.0,0.1,1.0,23.54,24.61,44.47
0.82,612.5,318.5,147.0,7.0,5.0,0.1,1.0,22.58,28.51,44.47
0.79,637.0,343.0,147.0,7.0,2.0,0.1,1.0,35.56,41.68,44.47
0.79,637.0,343.0,147.0,7.0,3.0,0.1,1.0,37.12,35.28,44.47
0.79,637.0,343.0,147.0,7.0,4.0,0.1,1.0,36.9,34.43,44.47
0.79,637.0,343.0,147.0,7.0,5.0,0.1,1.0,35.94,43.33,44.47
0.76,661.5,416.5,122.5,7.0,2.0,0.1,1.0,32.96,33.87,37.06
0.76,661.5,416.5,122.5,7.0,3.0,0.1,1.0,32.12,34.07,37.06
0.76,661.5,416.5,122.5,7.0,4.0,0.1,1.0,32.94,34.14,37.06
0.76,661.5,416.5,122.5,7.0,5.0,0.1,1.0,32.21,33.67,37.06
0.74,686.0,245.0,220.5,3.5,2.0,0.1,1.0,10.36,13.43,66.7
0.74,686.0,245.0,220.5,3.5,3.0,0.1,1.0,10.43,13.71,66.7
0.74,686.0,245.0,220.5,3.5,4.0,0.1,1.0,10.36,13.48,66.7
0.74,686.0,245.0,220.5,3.5,5.0,0.1,1.0,10.39,13.7,66.7
0.71,710.5,269.5,220.5,3.5,2.0,0.1,1.0,10.71,13.8,66.7
0.71,710.5,269.5,220.5,3.5,3.0,0.1,1.0,10.8,14.28,66.7
0.71,710.5,269.5,220.5,3.5,4.0,0.1,1.0,10.7,13.87,66.7
0.71,710.5,269.5,220.5,3.5,5.0,0.1,1.0,10.75,14.27,66.7
0.69,735.0,294.0,220.5,3.5,2.0,0.1,1.0,11.11,14.28,66.7
0.69,735.0,294.0,220.5,3.5,3.0,0.1,1.0,11.13,14.61,66.7
0.69,735.0,294.0,220.5,3.5,4.0,0.1,1.0,11.09,14.3,66.7
0.69,735.0,294.0,220.5,3.5,5.0,0.1,1.0,11.16,14.45,66.7
0.66,759.5,318.5,220.5,3.5,2.0,0.1,1.0,11.68,13.9,66.7
0.66,759.5,318.5,220.5,3.5,3.0,0.1,1.0,11.69,13.72,66.7
0.66,759.5,318.5,220.5,3.5,4.0,0.1,1.0,11.7,13.88,66.7
0.66,759.5,318.5,220.5,3.5,5.0,0.1,1.0,11.69,13.65,66.7
0.64,784.0,343.0,220.5,3.5,2.0,0.1,1.0,15.41,19.37,66.7
0.64,784.0,343.0,220.5,3.5,3.0,0.1,1.0,15.2,19.43,66.7
0.64,784.0,343.0,220.5,3.5,4.0,0.1,1.0,15.42,19.34,66.7
0.64,784.0,343.0,220.5,3.5,5.0,0.1,1.0,15.21,19.32,66.7
0.62,808.5,367.5,220.5,3.5,2.0,0.1,1.0,12.96,14.34,66.7
0.62,808.5,367.5,220.5,3.5,3.0,0.1,1.0,12.97,14.5,66.7
0.62,808.5,367.5,220.5,3.5,4.0,0.1,1.0,12.93,14.33,66.7
0.62,808.5,367.5,220.5,3.5,5.0,0.1,1.0,13.02,14.27,66.7
0.98,514.5,294.0,110.25,7.0,2.0,0.1,2.0,24.29,25.95,33.35
0.98,514.5,294.0,110.25,7.0,3.0,0.1,2.0,24.31,25.63,33.35
0.98,514.5,294.0,110.25,7.0,4.0,0.1,2.0,24.13,26.13,33.35
0.98,514.5,294.0,110.25,7.0,5.0,0.1,2.0,24.25,25.89,33.35
0.9,563.5,318.5,122.5,7.0,2.0,0.1,2.0,28.88,32.54,37.06
0.9,563.5,318.5,122.5,7.0,3.0,0.1,2.0,29.68,29.44,37.06
0.9,563.5,318.5,122.5,7.0,4.0,0.1,2.0,28.83,29.36,37.06
0.9,563.5,318.5,122.5,7.0,5.0,0.1,2.0,27.9,34.2,37.06
0.86,588.0,294.0,147.0,7.0,2.0,0.1,2.0,26.48,30.91,44.47
0.86,588.0,294.0,147.0,7.0,3.0,0.1,2.0,27.02,25.63,44.47
0.86,588.0,294.0,147.0,7.0,4.0,0.1,2.0,26.33,27.36,44.47
0.86,588.0,294.0,147.0,7.0,5.0,0.1,2.0,25.36,31.9,44.47
0.82,612.5,318.5,147.0,7.0,2.0,0.1,2.0,23.75,27.38,44.47
0.82,612.5,318.5,147.0,7.0,3.0,0.1,2.0,24.23,25.02,44.47
0.82,612.5,318.5,147.0,7.0,4.0,0.1,2.0,23.67,24.8,44.47
0.82,612.5,318.5,147.0,7.0,5.0,0.1,2.0,22.79,28.79,44.47
0.79,637.0,343.0,147.0,7.0,2.0,0.1,2.0,35.65,41.07,44.47
0.79,637.0,343.0,147.0,7.0,3.0,0.1,2.0,37.26,34.62,44.47
0.79,637.0,343.0,147.0,7.0,4.0,0.1,2.0,36.97,33.87,44.47
0.79,637.0,343.0,147.0,7.0,5.0,0.1,2.0,36.03,42.86,44.47
0.76,661.5,416.5,122.5,7.0,2.0,0.1,2.0,33.16,33.91,37.06
0.76,661.5,416.5,122.5,7.0,3.0,0.1,2.0,32.4,34.07,37.06
0.76,661.5,416.5,122.5,7.0,4.0,0.1,2.0,33.12,34.17,37.06
0.76,661.5,416.5,122.5,7.0,5.0,0.1,2.0,32.41,33.78,37.06
0.74,686.0,245.0,220.5,3.5,2.0,0.1,2.0,10.42,13.39,66.7
0.74,686.0,245.0,220.5,3.5,3.0,0.1,2.0,10.46,13.72,66.7
0.74,686.0,245.0,220.5,3.5,4.0,0.1,2.0,10.32,13.57,66.7
0.74,686.0,245.0,220.5,3.5,5.0,0.1,2.0,10.45,13.79,66.7
